event_type,lag_day,avg_return
Negative,0,-0.009513192028335508
Negative,1,0.0021661972545651423
Negative,2,0.0013707120682527041
Negative,3,0.0020889412917739934
Negative,4,0.0022793333251792795
Negative,5,0.003038218353523338
Positive,0,0.006812947271307698
Positive,1,0.0022940598652562362
Positive,2,0.0020637496867009805
Positive,3,0.0023152749687714684
Positive,4,0.0018902896417362024
Positive,5,0.002411317228993947
